epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,414.913,1.65926,4.89347,0.02699,0.30365,0.26641,0.24446,0.09765,1.54919,4.82363,0.03652,0.000332407,0.000332407,0.000332407
2,822.661,1.71189,2.59,0.02747,0.52583,0.30488,0.39033,0.16361,1.58742,2.44679,0.04111,0.000643771,0.000643771,0.000643771
3,1228.74,1.75028,2.30657,0.02891,0.49482,0.45102,0.43527,0.16958,1.64778,2.11564,0.04143,0.000933135,0.000933135,0.000933135
4,1633.89,1.74311,2.16524,0.02856,0.61699,0.37942,0.41946,0.17279,1.55776,2.04431,0.0375,0.000901,0.000901,0.000901
5,2039,1.70403,2.05675,0.02816,0.66735,0.46432,0.49196,0.22699,1.43364,1.84212,0.03365,0.000868,0.000868,0.000868
6,2444.16,1.66774,1.95501,0.02696,0.68054,0.50541,0.54321,0.24736,1.45378,1.73268,0.03312,0.000835,0.000835,0.000835
7,2849.1,1.63146,1.93817,0.026,0.69785,0.51235,0.55626,0.24361,1.52371,1.59966,0.03454,0.000802,0.000802,0.000802
8,3253.9,1.58734,1.84758,0.02504,0.48385,0.53115,0.53092,0.24914,1.48418,1.63381,0.03407,0.000769,0.000769,0.000769
9,3658.68,1.61138,1.74618,0.02521,0.51297,0.5815,0.57154,0.27875,1.47501,1.53174,0.03458,0.000736,0.000736,0.000736
10,4063.58,1.54318,1.7145,0.02368,0.5743,0.54769,0.58248,0.30138,1.41112,1.41425,0.03249,0.000703,0.000703,0.000703
11,4468.4,1.55671,1.63599,0.02359,0.72935,0.51826,0.61689,0.31058,1.39815,1.35097,0.03203,0.00067,0.00067,0.00067
12,4873.21,1.55272,1.60315,0.02415,0.74403,0.56806,0.60534,0.31125,1.36472,1.35314,0.03021,0.000637,0.000637,0.000637
13,5277.99,1.52084,1.63305,0.02288,0.6237,0.57305,0.63536,0.32753,1.38979,1.34561,0.03036,0.000604,0.000604,0.000604
14,5682.69,1.48666,1.59283,0.02347,0.63179,0.60994,0.66461,0.34374,1.37338,1.26659,0.03035,0.000571,0.000571,0.000571
15,6087.44,1.4857,1.52533,0.02283,0.64409,0.64578,0.68714,0.34673,1.38397,1.2111,0.03084,0.000538,0.000538,0.000538
16,6492.22,1.469,1.4883,0.02218,0.63971,0.64655,0.68356,0.35377,1.35102,1.22481,0.03064,0.000505,0.000505,0.000505
17,6897.03,1.43421,1.49466,0.0212,0.55413,0.62748,0.63774,0.3317,1.39636,1.2549,0.03116,0.000472,0.000472,0.000472
18,7301.8,1.46167,1.43933,0.02191,0.65531,0.6353,0.67803,0.37203,1.33566,1.18294,0.02936,0.000439,0.000439,0.000439
19,7706.61,1.41322,1.43971,0.02142,0.66275,0.69135,0.69934,0.3761,1.32648,1.15207,0.02856,0.000406,0.000406,0.000406
20,8111.45,1.43463,1.41275,0.02195,0.65367,0.70246,0.72841,0.39817,1.27678,1.10575,0.02728,0.000373,0.000373,0.000373
21,8515.95,1.45089,1.31125,0.02922,0.67568,0.67119,0.71405,0.38598,1.34131,1.12567,0.02971,0.00034,0.00034,0.00034
22,8920.16,1.42587,1.25625,0.02792,0.68263,0.68914,0.71924,0.39396,1.33093,1.08631,0.02937,0.000307,0.000307,0.000307
23,9324.09,1.40254,1.22623,0.0272,0.64662,0.69992,0.71443,0.39423,1.28231,1.10783,0.02797,0.000274,0.000274,0.000274
24,9728.07,1.37772,1.1425,0.02629,0.66021,0.69899,0.72963,0.40676,1.31125,1.06866,0.0281,0.000241,0.000241,0.000241
25,10132.3,1.37286,1.16265,0.02666,0.6798,0.67834,0.70899,0.40384,1.24384,1.1103,0.02649,0.000208,0.000208,0.000208
26,10536.2,1.37264,1.14155,0.02619,0.71895,0.68383,0.72656,0.41606,1.27602,1.05205,0.02762,0.000175,0.000175,0.000175
27,10940.4,1.3337,1.12448,0.02577,0.66928,0.6986,0.75131,0.43074,1.22814,1.04682,0.02607,0.000142,0.000142,0.000142
28,11345.2,1.32972,1.08698,0.02538,0.70263,0.70241,0.74462,0.43239,1.24259,1.05146,0.02616,0.000109,0.000109,0.000109
29,11749.4,1.30491,1.07155,0.02508,0.70371,0.71298,0.75439,0.43386,1.21737,1.05462,0.02553,7.6e-05,7.6e-05,7.6e-05
30,12153.8,1.31431,1.0449,0.02529,0.71859,0.69797,0.74556,0.4316,1.21515,1.06213,0.02541,4.3e-05,4.3e-05,4.3e-05
